Scenario,Replication,seed,order_size_mean,limit_price_decay_rate,mm_base_spread,sim_duration,avg_spread,median_exec_time,mean_exec_time,p99_exec_time,resting_exec_count,market_exec_count,total_executions,trade_count,trades_per_hour,execs_per_hour,mm_final_pnl,mm_final_pnl_per_hour,mm_final_pnl_per_1k_trades,mm_final_inventory,avg_mm_inventory,rest_exec_skew,rest_exec_kurtosis,price_volatility,depth_within_5_ticks,mm_depth_within_5_ticks,mm_depth_fraction,mm_realized_spread,runtime_sec,bid_level_1,bid_level_2,bid_level_3,bid_level_4,bid_level_5,ask_level_1,ask_level_2,ask_level_3,ask_level_4,ask_level_5,Replications,sim_duration_Mean,sim_duration_CI_95,avg_spread_Mean,avg_spread_CI_95,median_exec_time_Mean,median_exec_time_CI_95,mean_exec_time_Mean,mean_exec_time_CI_95,p99_exec_time_Mean,p99_exec_time_CI_95,resting_exec_count_Mean,resting_exec_count_CI_95,market_exec_count_Mean,market_exec_count_CI_95,total_executions_Mean,total_executions_CI_95,trade_count_Mean,trade_count_CI_95,trades_per_hour_Mean,trades_per_hour_CI_95,execs_per_hour_Mean,execs_per_hour_CI_95,mm_final_pnl_Mean,mm_final_pnl_CI_95,mm_final_pnl_per_hour_Mean,mm_final_pnl_per_hour_CI_95,mm_final_pnl_per_1k_trades_Mean,mm_final_pnl_per_1k_trades_CI_95,mm_final_inventory_Mean,mm_final_inventory_CI_95,avg_mm_inventory_Mean,avg_mm_inventory_CI_95,rest_exec_skew_Mean,rest_exec_skew_CI_95,rest_exec_kurtosis_Mean,rest_exec_kurtosis_CI_95,price_volatility_Mean,price_volatility_CI_95,depth_within_5_ticks_Mean,depth_within_5_ticks_CI_95,mm_depth_within_5_ticks_Mean,mm_depth_within_5_ticks_CI_95,mm_depth_fraction_Mean,mm_depth_fraction_CI_95,mm_realized_spread_Mean,mm_realized_spread_CI_95,runtime_sec_Mean,runtime_sec_CI_95,bid_level_1_Mean,bid_level_1_CI_95,bid_level_2_Mean,bid_level_2_CI_95,bid_level_3_Mean,bid_level_3_CI_95,bid_level_4_Mean,bid_level_4_CI_95,bid_level_5_Mean,bid_level_5_CI_95,ask_level_1_Mean,ask_level_1_CI_95,ask_level_2_Mean,ask_level_2_CI_95,ask_level_3_Mean,ask_level_3_CI_95,ask_level_4_Mean,ask_level_4_CI_95,ask_level_5_Mean,ask_level_5_CI_95
S26,4.0,1000004.0,5.0,0.05,0.1,23400.0,3.730097037520775,21.025777360503525,655.573326579308,10565.74448358296,47178.0,20.0,47198.0,46814.0,7202.153846153847,7261.2307692307695,590.4424999999874,90.83730769230576,12.612519759046169,-16.0,-8.72874839812046,0.0,0.0,4.152005206458557e-05,0.0,0.0,0.0,0.11195277149321878,0.7235937118530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S27,4.0,1000004.0,5.0,0.05,0.25,23400.0,3.798188806103064,21.369844059132447,665.3607476447539,10673.162874418187,47126.0,20.0,47146.0,46788.0,7198.153846153847,7253.2307692307695,1152.1437500000034,177.25288461538514,24.62477024023261,-21.0,-10.870568133276377,0.0,0.0,4.076012096207922e-05,0.0,0.0,0.0,-0.037093977529500236,0.840165376663208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S28,4.0,1000004.0,5.0,0.05,0.5,23400.0,3.896078202920921,21.863963185927787,716.654608884645,11123.72231367747,47034.0,20.0,47054.0,46742.0,7191.076923076924,7239.076923076924,2029.6868750000117,312.25951923077105,43.42319273886466,-21.0,-14.313114053823153,0.0,0.0,3.982963229456163e-05,0.0,0.0,0.0,-0.27259347275031703,0.8027439117431641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S29,4.0,1000004.0,5.0,0.05,1.0,23400.0,4.155094351104251,22.023166979628968,660.0181817364114,10254.875400712797,46786.0,20.0,46806.0,46618.0,7172.0,7200.923076923077,3925.963749999994,603.9944230769222,84.21561950319607,-16.0,-9.284920973942759,0.0,0.0,3.6893219751912814e-05,0.0,0.0,0.0,-0.7765038474799401,0.6916232109069824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S30,4.0,1000004.0,5.0,0.05,2.0,23400.0,4.675405422554025,22.662194081028815,780.6550400290068,14535.648581371232,46628.0,20.0,46648.0,46539.0,7159.846153846154,7176.615384615385,7132.163281250005,1097.2558894230776,153.25132214379346,-4.0,4.6228107646305,0.0,0.0,3.645581355197292e-05,0.0,0.0,0.0,-1.6595684786723872,0.8682057857513428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S31,4.0,1000004.0,5.0,0.1,0.1,23400.0,1.9383860721918753,20.976441568788232,662.7192379502,10573.970020745062,47384.0,20.0,47404.0,46917.0,7218.0,7292.923076923077,498.8362499999839,76.744038461536,10.63231344715101,-5.0,-7.355830841520717,0.0,0.0,1.4062708323797274e-05,0.0,0.0,0.0,-0.00498999749936866,0.7454209327697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S32,4.0,1000004.0,5.0,0.1,0.25,23400.0,1.9802465640584186,21.42507421371573,706.8537634443124,11235.00767317873,47138.0,20.0,47158.0,46794.0,7199.076923076924,7255.076923076924,1018.4062500000002,156.67788461538467,21.76360751378382,-16.0,-8.142246903032891,0.0,0.0,1.3638987768773168e-05,0.0,0.0,0.0,-0.14586385951661618,0.601464033126831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S33,4.0,1000004.0,5.0,0.1,0.5,23400.0,2.077853686772739,22.266985094167467,618.1110406886498,9866.213354914711,46806.0,20.0,46826.0,46628.0,7173.538461538462,7204.0,1862.2737499999994,286.5036538461538,39.93895835120527,-5.0,-4.5873558308415205,0.0,0.0,1.199517746680925e-05,0.0,0.0,0.0,-0.3770534587225449,0.589942216873169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S34,4.0,1000004.0,5.0,0.1,1.0,23400.0,2.331729299008549,22.76724348453172,751.2555326937919,12951.96348552948,46620.0,20.0,46640.0,46535.0,7159.2307692307695,7175.384615384616,3532.4593750000013,543.4552884615387,75.90973192220912,-7.0,1.0286202477573687,0.0,0.0,1.1483511600181759e-05,0.0,0.0,0.0,-0.8259943792689096,0.8117349147796631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S35,4.0,1000004.0,5.0,0.1,2.0,23400.0,2.731200720582997,24.01452351486023,737.1019548078505,13414.151488428872,46470.0,20.0,46490.0,46460.0,7147.6923076923085,7152.307692307692,5900.571953125,907.7803004807693,127.00327062257854,0.0,0.07902605724049551,0.0,0.0,1.2779452762352515e-05,0.0,0.0,0.0,-1.437588857259898,0.5324990749359131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S36,4.0,1000004.0,5.0,0.2,0.1,23400.0,0.982710208382804,21.554748865743022,743.376775494134,11285.635604821846,47228.0,20.0,47248.0,46839.0,7206.0,7268.923076923077,338.887499999979,52.13653846153524,7.235156600268558,0.0,0.1794105083297736,0.0,0.0,3.96204731784156e-06,0.0,0.0,0.0,-0.06925743972877352,0.581897497177124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S37,4.0,1000004.0,5.0,0.2,0.25,23400.0,1.0428224738779388,22.94510770096349,699.706501585102,11155.569105439841,46946.0,20.0,46966.0,46698.0,7184.307692307692,7225.538461538462,896.4231249999979,137.91124999999968,19.19617810184586,-6.0,-4.145664246048697,0.0,0.0,3.774368096837678e-06,0.0,0.0,0.0,-0.18790499371859298,0.6563539505004883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S38,4.0,1000004.0,5.0,0.2,0.5,23400.0,1.1626486285917834,22.997750352056755,738.7358482677404,12452.255783099985,46640.0,20.0,46660.0,46545.0,7160.769230769231,7178.461538461539,1718.7468749999998,264.42259615384614,36.92656300354495,-4.0,0.3712088850918411,0.0,0.0,3.3912094296954154e-06,0.0,0.0,0.0,-0.4062102841485046,0.5431253910064697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S39,4.0,1000004.0,5.0,0.2,1.0,23400.0,1.3664624105764662,24.09390116800023,716.8611374876338,13044.65883110656,46490.0,20.0,46510.0,46470.0,7149.2307692307695,7155.384615384616,2933.9743749999993,451.380673076923,63.13695663869162,0.0,-0.14096539940196498,0.0,0.0,3.72504520790681e-06,0.0,0.0,0.0,-0.6949022289216996,0.6043989658355713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S40,4.0,1000004.0,5.0,0.2,2.0,23400.0,1.5746381203989555,24.59930099646408,588.3102787072185,9605.649916624863,46412.0,20.0,46432.0,46431.0,7143.2307692307695,7143.384615384616,3431.970000000007,527.9953846153858,73.9154874975772,10.0,0.11490815890645023,0.0,0.0,5.040430368336891e-06,0.0,0.0,0.0,-0.932118704212454,0.721397876739502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S41,4.0,1000004.0,5.0,0.3,0.1,23400.0,0.676852143196387,21.716263782965143,730.6946075444466,13273.500272303943,47204.0,20.0,47224.0,46827.0,7204.153846153847,7265.2307692307695,369.9562499999776,56.91634615384271,7.900490101863832,1.0,1.0106791969243913,0.0,0.0,1.8474891452617186e-06,0.0,0.0,0.0,-0.07947439984995659,0.7773849964141846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S42,4.0,1000004.0,5.0,0.3,0.25,23400.0,0.7404408839943006,22.56483771125204,615.7226187044978,9706.030080293043,46790.0,20.0,46810.0,46620.0,7172.307692307692,7201.538461538462,883.7209374999995,135.95706730769226,18.955833065208058,-6.0,-1.3314822725331055,0.0,0.0,1.7048761999214002e-06,9.0,1.0,0.1111111111111111,-0.2010081076826198,0.8318688869476318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S43,4.0,1000004.0,5.0,0.3,0.5,23400.0,0.8429307765376396,23.320098192848945,746.5134430795115,14347.469972599254,46548.0,20.0,46568.0,46499.0,7153.6923076923085,7164.307692307692,1572.1012499999986,241.86173076923058,33.809356115185246,-4.0,0.08543357539513029,0.0,0.0,1.6566032768910642e-06,0.0,0.0,0.0,-0.3718064371744794,0.597743034362793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S44,4.0,1000004.0,5.0,0.3,1.0,23400.0,0.9930978130194726,24.661336346532153,743.6536761173679,12662.379803326206,46438.0,20.0,46458.0,46444.0,7145.2307692307695,7147.384615384616,2207.6284374999973,339.63514423076884,47.53312456937381,4.0,0.27381460914139255,0.0,0.0,2.0514325697725655e-06,0.0,0.0,0.0,-0.5686426678276176,0.4876129627227783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S45,4.0,1000004.0,5.0,0.3,2.0,23400.0,1.110089052481596,24.26809966399867,616.435965083749,9649.801860779957,46410.0,20.0,46430.0,46430.0,7143.076923076924,7143.076923076924,1930.0849999999973,296.93615384615345,41.569782468231686,-1.0,0.34686031610422896,0.0,0.0,2.7560986897312266e-06,0.0,0.0,0.0,-0.6635681449432125,0.5333678722381592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S46,4.0,1000004.0,5.0,0.5,0.1,23400.0,0.42521025290904474,23.17710913439896,796.0952463564571,13100.600321409802,47160.0,20.0,47180.0,46805.0,7200.769230769231,7258.461538461539,344.7487499999777,53.0382692307658,7.365639354769313,-1.0,0.05254164886800513,0.0,0.0,7.228316446751431e-07,0.0,0.0,0.0,-0.08377159776325137,0.5311357975006104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S47,4.0,1000004.0,5.0,0.5,0.25,23400.0,0.4841041969692471,23.65549181881579,729.4796853294401,13052.154917695456,46694.0,20.0,46714.0,46572.0,7164.923076923077,7186.769230769231,768.5572656250008,118.2395793269232,16.502560886906313,0.0,0.4408372490388723,0.0,0.0,6.591925217348893e-07,0.0,0.0,0.0,-0.18886104272295903,0.6336731910705566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S48,4.0,1000004.0,5.0,0.5,0.5,23400.0,0.5637090321479458,25.142187781795656,791.0468728511551,13955.401908458642,46462.0,20.0,46482.0,46456.0,7147.076923076924,7151.076923076924,1134.4100000000017,174.52461538461566,24.41902014809716,0.0,0.0888509184109355,0.0,0.0,6.982996090685639e-07,0.0,0.0,0.0,-0.29931375073572675,0.6263961791992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S49,4.0,1000004.0,5.0,0.5,1.0,23400.0,0.6465663886250297,25.308497602904026,658.6110052129278,10136.779991096451,46412.0,20.0,46432.0,46431.0,7143.2307692307695,7143.384615384616,1155.815000000001,177.81769230769245,24.893174818547973,8.0,0.290474156343443,0.0,0.0,9.391884273458056e-07,0.0,0.0,0.0,-0.3702267428952043,0.613635778427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S50,4.0,1000004.0,5.0,0.5,2.0,23400.0,0.693920654238898,23.203249412326272,593.8440801675719,9495.679700412944,46410.0,20.0,46430.0,46430.0,7143.076923076924,7143.076923076924,450.7624999999982,69.34807692307666,9.708432048244632,20.0,-0.4327210593763349,0.0,0.0,1.1551772761009334e-06,0.0,0.0,0.0,-0.42625724337748233,0.5499222278594971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S51,4.0,1000004.0,10.0,0.05,0.1,23400.0,3.792328009973875,24.268143137374864,670.4981776709952,10491.5221392811,93684.0,20.0,93704.0,93282.0,14351.076923076924,14416.0,587.9918749999729,90.46028846153429,6.303379805321208,-9.0,-8.881247330200768,0.0,0.0,4.34192244841403e-05,0.0,0.0,0.0,0.11851458385718501,0.7818293571472168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S52,4.0,1000004.0,10.0,0.05,0.25,23400.0,3.865614328544289,24.31835148163327,699.0621238530558,10722.243793983165,93650.0,20.0,93670.0,93265.0,14348.461538461539,14410.769230769232,1206.6324999999965,185.63576923076872,12.937677585374969,-21.0,-11.95984621956429,0.0,0.0,4.311899248330835e-05,0.0,0.0,0.0,-0.04292508443832894,0.7715857028961182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S53,4.0,1000004.0,10.0,0.05,0.5,23400.0,4.046363215388269,24.177352433660417,775.304530307731,11723.885596166521,93700.0,20.0,93720.0,93290.0,14352.307692307693,14418.461538461539,2031.7274999999895,312.5734615384599,21.77862043091424,-30.0,-19.24263135412217,0.0,0.0,4.4914114241885046e-05,0.0,0.0,0.0,-0.29006673096067676,0.692875862121582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S54,4.0,1000004.0,10.0,0.05,1.0,23400.0,4.206317108465923,24.968994705646764,698.9219211509378,10086.76794851703,93272.0,20.0,93292.0,93076.0,14319.384615384617,14352.615384615385,3838.7453124999975,590.5762019230766,41.243127256220696,-12.0,-5.697992310978214,0.0,0.0,3.852734981629641e-05,0.0,0.0,0.0,-0.7639188659729188,1.0903711318969727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S55,4.0,1000004.0,10.0,0.05,2.0,23400.0,4.745749628947994,24.619921745073952,805.3340393318267,13258.254599633834,93096.0,20.0,93116.0,92988.0,14305.846153846154,14325.538461538463,7205.321875000007,1108.511057692309,77.48657756914878,-6.0,2.5198633062793676,0.0,0.0,3.874048628848505e-05,0.0,0.0,0.0,-1.6708098486278948,0.8971672058105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
