Experiment,Independent_Var,Value,Spread_Mean,Spread_CI,Median_Exec_Mean_s,Median_Exec_CI_s,Mean_Exec_Mean_s,Mean_Exec_CI_s,P99_Exec_Mean_s,P99_Exec_CI_s,Trades_per_hour_Mean,Trades_per_hour_CI,Execs_per_hour_Mean,Execs_per_hour_CI,MM_PnL_Mean,MM_PnL_CI,MM_PnL_per_hour_Mean,MM_PnL_per_hour_CI,MM_Inventory_Mean,MM_Inventory_CI,RestExec_Skew_Mean,RestExec_Skew_CI,RestExec_Kurt_Mean,RestExec_Kurt_CI
Exp1_Liquidity_Supply,lam_limit,0.2,0.4689645777931498,0.05378345375084242,2093.6821902935662,595.9743375098859,3071.303912595832,843.1103050830485,10468.117100738198,3093.902932332617,1746.476923076923,69.19246757733102,443.21538461538466,54.63029698473184,785.3259457071197,325.8999653891497,120.8193762626338,50.13845621371536,14.2,38.46257394611026,0.904788611617608,0.3593873938808077,-0.06663323265957746,0.896799852771249
Exp1_Liquidity_Supply,lam_limit,0.5,0.3920283578969842,0.16847232151229527,3375.8190230880573,1741.1602964178553,4393.007618043588,1605.520537170053,14489.265496195541,4120.383733912087,2230.738461538462,261.23044337014016,618.4615384615385,227.42499805606246,290.4585256681279,159.23783447998272,44.68592702586583,24.498128381535803,-84.2,173.15320660547988,1.0744918455764836,0.7584834525993718,1.1816988902143826,2.577625965313913
Exp1_Liquidity_Supply,lam_limit,1.0,0.9276580593335394,0.1637649677710942,5803.549689861128,93.70340166020942,5943.482989964851,226.0073671960204,12283.126238361103,1446.1412320610943,1587.876923076923,336.06910045548676,1358.2769230769231,183.31088276520845,-188.10123895533368,425.48500251696476,-28.938652146974412,65.45923115645613,1.6,3.148796443087422,0.10460934595596223,0.2182487521821204,-1.0326116452149423,0.3713357286178377
Exp1_Liquidity_Supply,lam_limit,2.0,1.0000213974741212,1.724071278061991e-05,8680.012007230896,87.86839104623911,8722.805616174695,56.08349914533286,17399.389629072863,62.18472078352352,1432.9692307692308,12.11875822681517,1432.9538461538461,12.12849758873705,0.0,0.0,0.0,0.0,0.1,0.22619999999999998,0.01563456011511894,0.013333240571085215,-1.1976091777083773,0.010593217014706174
Exp1_Liquidity_Supply,lam_limit,5.0,1.0000122130518145,6.7574753363097265e-06,10480.719165030201,88.95067916756379,10516.326666704446,62.100623197065296,20849.766756086337,14.787766994339858,1435.8615384615384,9.380154787635435,1435.8307692307694,9.327215138507302,0.0,0.0,0.0,0.0,0.2,0.45239999999999997,0.006406616500741253,0.013057811041396956,-1.2028626627793275,0.01154166618192771
Exp2_Market_Stability,lam_cancel,0.1,0.38777369905569975,0.11976589036434254,2350.914418037038,917.3922839624507,4210.291025278719,652.6613394364035,13968.186102742091,2354.2672985516174,5616.953846153847,716.9733735436484,1584.9846153846154,391.2566790891115,-2935.4370576919705,7641.454613717088,-451.60570118338,1175.6084021103215,4.6,8.080122365410068,0.8615523817507389,0.32924803014145754,-0.42280842741836794,0.8077542001592204
Exp2_Market_Stability,lam_cancel,0.5,0.36808295239059774,0.02880959639608915,3116.4098708027063,1254.7414467224062,4031.659271677943,620.8344846085284,13342.804419312204,1702.0202353157804,5380.784615384615,199.09142856044804,1270.523076923077,162.27421723194354,198.05349302796816,1254.2269563294067,30.469768158148934,192.9579932814471,1.0,17.91920301799162,0.6942925989340022,0.3577905851966488,-0.48165464529933744,0.5343134117006172
Exp2_Market_Stability,lam_cancel,1.0,0.46211207902578133,0.06032514272440399,2433.051567247397,1238.1050666885394,3414.5596280576515,1060.7174313543098,11768.171659932601,3221.9272619461913,5320.538461538462,474.80953659925575,1291.4615384615386,197.6128298203333,1824.5033511639751,248.70809069065862,280.69282325599625,38.26278318317825,-49.1,105.25497021632754,1.0772456345859855,0.6715681634537384,1.1073771874835199,2.3043443678291458
Exp2_Market_Stability,lam_cancel,5.0,0.5561472606968983,0.03913379502831419,573.3837651724018,190.10840605542458,1710.447968677865,359.44992060960845,11919.123432797507,4015.7821489481435,7710.138461538461,544.9437190887146,731.4461538461538,27.17264778853912,3993.9951415229334,432.8599518054769,614.4607910035281,66.59383873930413,-4.0,8.997592922554343,2.171558054333969,0.6548204126434404,5.492656762958839,4.563291555016435
Exp2_Market_Stability,lam_cancel,10.0,0.6072995014995177,0.02479594637817624,426.7374230256017,52.353027013985454,1703.2225044509528,221.12480227608677,11628.856484682226,1912.170493362481,11017.076923076926,895.5954779591065,482.8461538461539,25.264429841181848,5176.215818686761,359.491898302729,796.3408951825786,55.306445892727545,7.0,14.38935464848928,2.10535560580132,0.27644129903130515,4.014719446772033,1.5020783545614365
Exp3_MM_Strategy,mm_skew_coef,0.0,1.0003031072160773,0.00015719970166074465,1934.9753254887946,117.70806057270583,1933.8124037318655,76.42329846563314,4040.4855986221387,209.21772963913702,1439.676923076923,11.089800207397804,1439.0923076923077,11.204597263623562,1.415625,1.989323979562922,0.2177884615384616,0.3060498430096804,0.6,2.365205580916805,0.042548107284933044,0.11352736523840813,-1.096591668237775,0.10196475594651064
Exp3_MM_Strategy,mm_skew_coef,0.01,1.0005682007894134,0.0003293603552814296,1959.8029310763282,152.24457199882187,1962.1803836710337,121.59720653270418,4071.6883496436176,149.18541081219075,1436.4,12.55688078465348,1435.3846153846155,12.774860437593839,3.4714218749999857,3.91017344392616,0.5340649038461518,0.6015651452194094,-0.2,2.5636,0.04923099539393551,0.09197093336896756,-1.11555600535375,0.07938290236778306
Exp3_MM_Strategy,mm_skew_coef,0.05,0.9333006955926548,0.15195873754662473,2058.4819379009173,135.59627435095055,2209.9030002288905,427.2230181729236,5103.102669058937,2365.6998057445326,1523.2153846153847,187.3175129661933,1340.9076923076923,223.31332574264349,73.5372129329907,158.94352197554286,11.31341737430626,24.452849534698906,-3.2,2.7559705658805576,0.13788975771834885,0.3160013032269746,-0.994872894637042,0.3187431830573219
Exp3_MM_Strategy,mm_skew_coef,0.1,0.5678516408229122,0.2670899630727723,2957.9320462668306,1055.174120430406,4308.233577188793,1555.2529564756228,11547.159125111557,4655.590851566663,2119.323076923077,443.1757469436251,938.2307692307693,306.6858854332883,-1749.7050656973145,2670.716743950323,-269.1853947226638,410.87949906928054,-2.6,8.909970496022979,0.4149615887065428,0.3173735700887786,-0.9750834160424773,0.29903196634179835
Exp3_MM_Strategy,mm_skew_coef,0.5,0.47729950412229594,0.17619583461628752,4498.844255799708,1172.8132425922913,4426.487448951227,785.9904280979721,10654.3006451363,2487.088328929342,2367.692307692308,322.8161455243526,905.9538461538463,193.18739777573487,-22161.508185801442,44914.2532027143,-3409.462797815607,6909.885108109895,66.4,142.2800996817194,0.1857416329583606,0.5217209010934699,-0.347422627560884,0.7175649121693414
Exp4_Order_Sizing,order_size_mean,1.0,0.31640545441927864,0.0389196035789461,2299.6468919069466,590.9007951455942,4493.440932864352,456.90196631836,16581.532368836437,1682.5811597555057,5513.523076923078,276.489349306334,1330.4,145.0214556286069,-2955.8813764429015,4225.124970786656,-454.7509809912156,650.0192262748703,-2.7,9.81967406587408,1.041629513575717,0.2251542739119814,-0.002512145690550649,0.65145940550693
Exp4_Order_Sizing,order_size_mean,2.0,0.8448271830600589,0.06250282555790666,852.969060345385,418.5018863924987,1780.390767398168,433.66123992307706,10195.627810766613,3912.702834120996,9764.938461538464,806.5957139949606,6624.753846153847,321.32476748087737,-92912.66310256209,104887.74502106557,-14294.25586193263,16136.576157087009,300.0,717.5869932879219,2.0610900892387907,1.789021860612693,8.773189215915206,16.886599890813553
Exp4_Order_Sizing,order_size_mean,5.0,0.96183809340713,0.026553945205729353,144.5969426495174,46.037627976242675,1548.2344685957237,235.40300102806728,11679.039067853158,2365.709970173284,21234.76923076923,743.1978253057524,17301.938461538466,203.25188322827438,-92288.63043957808,117832.18191636843,-14198.250836858166,18128.027987133606,254.8,763.2401861926296,2.3079511746061723,0.7601313015055915,5.715741373169815,5.006462865314236
Exp4_Order_Sizing,order_size_mean,10.0,0.9986361427950099,0.02416914514319155,139.39055073341785,59.48523721663719,924.9178880475271,289.072922259172,11298.834192578575,3245.06901160728,38618.769230769234,914.4342406992423,35479.492307692315,235.84691443086552,-215944.88376341257,229262.30309429843,-33222.289809755785,35271.123552969,-271.1,591.4464097380591,4.688811049798274,1.8295996427667278,30.34152076365471,20.815582315543814
